,timestamp,face_id,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
113,0.4,0,83,0.387,0.26,0.298,-0.452,0.125,0.91,1.37,0.0,0.09,0.57,1.07,0.0,1.1,0.34,0.31,0.0,0.0,0.7,0.0,1.14,0.0,0.0
114,0.5,0,83,0.387,0.263,0.302,-0.45299999999999996,0.127,0.66,1.16,0.0,0.25,0.42,0.55,0.0,0.83,0.44,0.13,0.0,0.02,0.31,0.0,1.1,0.16,0.0
115,0.6,0,83,0.38799999999999996,0.262,0.303,-0.45299999999999996,0.13,0.78,1.51,0.0,0.02,0.49,1.11,0.0,0.73,0.35,0.12,0.0,0.13,0.48,0.0,0.99,0.0,0.0
116,0.7,0,83,0.387,0.265,0.306,-0.452,0.131,0.75,1.25,0.0,0.59,0.42,0.94,0.08,0.71,0.26,0.13,0.0,0.36,0.68,0.0,0.93,0.0,0.0
117,0.8,0,83,0.384,0.268,0.311,-0.44799999999999995,0.133,0.6,1.05,0.0,0.06,0.57,1.59,0.0,0.79,0.31,0.08,0.0,0.02,0.38,0.0,1.05,0.0,0.0
118,0.9,0,83,0.384,0.282,0.32899999999999996,-0.449,0.13699999999999998,0.47,1.06,0.0,0.55,0.6,1.33,0.0,0.84,0.33,0.22,0.0,0.31,0.27,0.0,1.05,0.0,0.0
119,1.0,0,83,0.386,0.27899999999999997,0.327,-0.452,0.138,1.04,1.4,0.0,0.59,0.65,1.27,0.31,0.67,0.38,0.46,0.0,0.41,0.67,0.0,1.05,0.0,0.0
120,1.1,0,83,0.38799999999999996,0.278,0.32799999999999996,-0.455,0.14,0.91,1.33,0.0,0.35,0.51,0.87,0.14,0.9,0.37,0.39,0.0,0.38,0.75,0.0,0.98,0.0,0.0
121,0.0,0,196,0.102,0.23600000000000002,0.177,-0.17600000000000002,0.07200000000000001,2.57,0.0,0.64,2.14,0.13,1.07,0.16,1.35,0.0,0.0,0.9,0.11,1.17,0.0,0.0,0.0,0.0
123,0.2,0,196,0.113,0.22899999999999998,0.16899999999999998,-0.18899999999999997,0.08,2.04,0.0,0.22,1.96,0.22,0.97,0.14,1.37,0.0,0.0,1.45,0.25,0.0,0.0,0.01,0.0,0.0
124,0.2,1,196,0.574,0.295,0.34600000000000003,-0.711,0.29100000000000004,0.0,0.0,0.0,1.6,0.66,0.0,1.15,0.0,0.0,0.59,0.78,0.21,0.0,0.0,0.0,0.0,0.0
125,0.4,0,196,0.122,0.22699999999999998,0.16699999999999998,-0.2,0.085,2.41,0.0,0.33,2.21,0.32,1.09,0.26,2.1,0.0,0.0,1.2,0.61,0.57,0.0,0.0,0.0,0.0
126,0.4,1,196,0.57,0.307,0.335,-0.693,0.258,0.0,0.0,0.0,1.45,1.1,0.0,0.81,0.36,0.0,0.09,0.06,0.82,0.0,0.0,0.0,1.42,0.0
127,0.6,0,196,0.12300000000000001,0.23,0.17,-0.203,0.09,1.97,0.0,0.44,1.74,0.4,1.13,0.25,1.52,0.0,0.0,1.33,0.39,0.37,0.11,0.1,0.0,0.0
128,0.6,1,196,0.5760000000000001,0.325,0.35100000000000003,-0.6920000000000001,0.249,0.0,0.0,0.0,1.65,0.93,0.67,0.48,0.66,0.0,0.2,0.0,0.87,0.0,0.0,0.0,0.48,0.0
129,0.8,0,196,0.127,0.228,0.17,-0.21100000000000002,0.094,2.17,0.0,0.34,2.28,0.44,0.65,0.06,1.63,0.0,0.0,1.01,0.45,0.0,0.1,0.0,0.0,0.0
130,0.8,1,196,0.573,0.32799999999999996,0.35200000000000004,-0.68,0.21,0.0,0.0,0.0,0.63,1.37,0.08,0.57,0.82,0.0,0.0,0.0,0.68,0.26,0.0,0.06,0.42,0.0
131,1.0,0,196,0.129,0.225,0.166,-0.215,0.095,2.39,0.11,0.0,1.54,0.31,0.34,0.2,1.64,0.0,0.0,0.95,0.77,0.46,0.0,0.06,0.0,0.0
132,1.0,1,196,0.59,0.327,0.33299999999999996,-0.705,0.20600000000000002,0.0,0.0,0.0,0.49,0.77,0.0,0.38,0.0,0.0,0.0,0.11,0.86,0.0,0.0,0.0,0.65,0.0
143,0.0,0,68,0.111,0.12300000000000001,0.059000000000000004,-0.158,-0.08900000000000001,2.14,0.45,1.84,1.23,0.92,1.5,0.23,0.86,0.0,0.0,0.9,0.49,1.9,0.0,0.0,0.0,0.0
144,0.12,0,68,0.106,0.12300000000000001,0.057,-0.146,-0.098,2.11,0.23,1.47,0.92,0.97,1.18,0.47,1.2,0.0,0.0,0.99,0.46,2.32,0.0,0.0,0.0,0.0
145,0.24,0,68,0.10300000000000001,0.12300000000000001,0.057,-0.14,-0.10400000000000001,2.24,0.43,1.6,1.05,0.82,1.27,0.54,1.2,0.0,0.0,1.17,0.39,2.49,0.0,0.0,0.0,0.0
146,0.36,0,68,0.102,0.12300000000000001,0.057999999999999996,-0.139,-0.106,2.17,0.45,1.28,1.23,0.93,1.69,0.47,1.42,0.0,0.0,1.06,0.37,2.32,0.0,0.0,0.0,0.0
147,0.48,0,68,0.10099999999999999,0.121,0.055999999999999994,-0.13699999999999998,-0.105,2.37,0.46,1.28,1.2,1.03,1.2,0.7,1.26,0.0,0.0,0.99,0.39,2.25,0.0,0.0,0.0,0.0
148,0.6,0,68,0.10099999999999999,0.126,0.064,-0.138,-0.107,2.57,0.54,1.49,0.97,0.87,0.66,0.37,0.99,0.0,0.14,1.25,0.61,2.41,0.0,0.0,0.0,0.0
149,0.72,0,68,0.032,0.132,0.07200000000000001,-0.028999999999999998,-0.09300000000000001,2.0,0.67,1.52,1.48,1.11,0.64,0.59,0.85,0.0,0.0,1.03,0.47,1.98,0.0,0.0,0.03,0.0
