,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,face_id,video
193,-0.242452,0.297824,-0.923319,-0.429162,0.25458600000000003,-0.866606,-0.359,0.299,104.5,-26.3,572.9,0.34,0.445,0.053,0.89,0.0,0.01,0.0,1.52,0.0,0.0,2.37,2.34,0.06,0.0,0.0,0.12,0.0,1.3,0.0,0.0,0,431
194,-0.250456,0.28418899999999997,-0.925477,-0.43633999999999995,0.23954699999999998,-0.867309,-0.366,0.284,99.1,-25.6,566.3,0.311,0.462,0.07,0.75,0.0,0.0,0.0,1.65,0.0,0.0,2.04,2.15,0.0,0.0,0.0,0.18,0.0,1.33,0.0,0.0,0,431
195,-0.254392,0.294038,-0.9213180000000001,-0.441205,0.245898,-0.86306,-0.37200000000000005,0.294,97.2,-22.4,570.3,0.33,0.47,0.076,0.45,0.0,0.25,0.0,1.69,0.13,0.0,2.06,2.29,0.79,0.0,0.0,0.05,0.0,1.45,0.01,0.0,0,431
196,-0.25099899999999997,0.28448,-0.925241,-0.43722,0.236298,-0.867757,-0.366,0.28300000000000003,97.6,-23.4,573.8,0.314,0.46299999999999997,0.086,0.75,0.0,0.43,0.0,1.82,0.0,0.0,1.86,2.2,0.47,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0,431
197,-0.24931799999999998,0.287866,-0.9246479999999999,-0.435309,0.23876999999999998,-0.868041,-0.365,0.28600000000000003,99.1,-23.1,573.9,0.318,0.45799999999999996,0.09,0.74,0.0,0.1,0.0,1.74,0.56,0.0,2.37,2.43,0.58,0.0,0.0,0.13,0.0,1.43,0.0,0.0,0,431
198,-0.25527,0.292729,-0.921492,-0.44214799999999993,0.242286,-0.863599,-0.37200000000000005,0.29100000000000004,98.7,-22.9,573.0,0.324,0.46799999999999997,0.085,0.41,0.0,0.0,0.0,1.8,0.34,0.0,2.14,2.27,0.15,0.0,0.0,0.14,0.0,1.35,0.0,0.0,0,431
199,-0.267703,0.27579000000000004,-0.9231870000000001,-0.450546,0.23318000000000003,-0.861763,-0.38299999999999995,0.278,97.5,-25.8,573.0,0.31,0.488,0.057999999999999996,0.05,0.0,0.0,0.0,1.66,0.52,0.0,1.66,2.14,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0,431
219,0.10329200000000001,0.049163,-0.9934350000000001,-0.083622,0.046411,-0.995416,0.01,0.048,-4.4,-34.2,431.0,-0.087,0.013000000000000001,0.013999999999999999,0.24,0.0,0.0,0.0,1.98,0.0,0.0,1.11,0.73,0.46,0.51,2.37,0.0,1.17,0.2,0.85,1.19,0,343
220,0.104477,0.045391,-0.993491,-0.078811,0.044169,-0.9959110000000001,0.013000000000000001,0.045,-4.1,-34.3,430.8,-0.102,0.006999999999999999,0.013000000000000001,0.55,0.0,0.0,0.0,2.11,0.07,0.0,1.68,0.73,0.49,0.67,3.11,0.0,1.44,0.08,1.47,1.39,0,343
221,0.103631,0.051177999999999994,-0.9932979999999999,-0.078068,0.049135000000000005,-0.9957360000000001,0.013000000000000001,0.05,-3.9,-34.3,429.5,-0.096,0.006,0.015,0.6,0.0,0.0,0.2,2.21,0.0,0.0,1.46,0.85,0.23,0.87,3.46,0.8,0.53,0.23,2.54,1.3,0,343
